Order_ID,Supplier,SKU,Product_Type,Ordered_Quantity,Unit_Cost,Order_Date,Supplier_Lead_Time_Days,Manufacturing_Lead_Time_Days,Inspection_Result,Defect_Rate,Location,Revenue,Total_Cost,Avg_Lead_Time
1036,S5,SKU-36,Cosmetics,33,51.65,05/02/2025 00:00,21,14,Pending,3.61,Leeds,3827.25,1704.45,35
1037,S2,SKU-37,Skincare,61,30.06,06/02/2025 00:00,14,17,Pass,4.24,London,2249.61,1833.66,31
1038,S1,SKU-38,Haircare,51,357.47,07/02/2025 00:00,15,12,Fail,0.67,London,5265.41,18230.97,27
1039,S4,SKU-39,Skincare,43,159.02,08/02/2025 00:00,19,18,Pass,4.97,Manchester,5963.35,6837.86,37
1040,S2,SKU-40,Skincare,12,221.34,09/02/2025 00:00,15,6,Pending,4.8,Manchester,4638.35,2656.08,21
1041,S1,SKU-41,Haircare,67,349.38,10/02/2025 00:00,13,13,Pass,2.79,London,997.65,23408.46,26
1042,S3,SKU-42,Cosmetics,65,32.55,11/02/2025 00:00,12,5,Pending,2.46,London,2087.77,2115.75,17
1043,S1,SKU-43,Haircare,33,333.28,12/02/2025 00:00,13,19,Fail,1.86,Leeds,1100.1,10998.24,32
1044,S5,SKU-44,Cosmetics,40,210.14,13/02/2025 00:00,10,12,Pass,2.88,Leeds,4077.81,8405.6,22
1045,S2,SKU-45,Skincare,74,63.64,14/02/2025 00:00,13,16,Fail,0.72,Manchester,4708.55,4709.36,29
1046,S4,SKU-46,Cosmetics,43,156.98,15/02/2025 00:00,10,15,Pending,4.76,Nottingham,5591.21,6750.14,25
1047,S2,SKU-47,Cosmetics,44,295.76,16/02/2025 00:00,21,16,Fail,0.68,London,2909.95,13013.44,37
1048,S3,SKU-48,Cosmetics,29,183.16,17/02/2025 00:00,24,16,Pass,2.15,Leeds,5457.57,5311.64,40
1049,S3,SKU-49,Skincare,13,374.43,18/02/2025 00:00,10,8,Fail,5.16,Manchester,5328.4,4867.59,18
1050,S1,SKU-50,Skincare,12,143.91,19/02/2025 00:00,19,8,Fail,4.18,Leeds,2244.58,1726.92,27
1051,S5,SKU-51,Cosmetics,95,285.14,20/02/2025 00:00,23,9,Fail,1.91,London,5278.95,27088.3,32
1052,S4,SKU-52,Cosmetics,46,150.06,21/02/2025 00:00,15,12,Fail,1.76,London,2566.2,6902.76,27
1053,S5,SKU-53,Haircare,2,315.29,22/02/2025 00:00,14,9,Pass,0.53,Birmingham,2132.78,630.58,23
1054,S5,SKU-54,Cosmetics,35,216.77,23/02/2025 00:00,23,12,Pass,3.98,Nottingham,4069.91,7586.95,35
1055,S3,SKU-55,Haircare,87,25.26,24/02/2025 00:00,20,19,Fail,0.74,Birmingham,2306.1,2197.62,39
1056,S5,SKU-56,Cosmetics,81,15.15,25/02/2025 00:00,24,14,Fail,3.16,Manchester,3966.15,1227.15,38
1057,S1,SKU-57,Haircare,90,51.9,26/02/2025 00:00,13,5,Pass,5.31,Leeds,3854.07,4671,18
1058,S1,SKU-58,Skincare,8,6.38,27/02/2025 00:00,22,16,Pending,1.05,Manchester,3598.91,51.04,38
1059,S1,SKU-59,Cosmetics,93,29.75,28/02/2025 00:00,20,19,Fail,4.97,London,2592.31,2766.75,39
1060,S2,SKU-60,Cosmetics,26,263.22,01/03/2025 00:00,12,14,Fail,5.46,Birmingham,3516.75,6843.72,26
1061,S2,SKU-61,Cosmetics,74,203.61,02/03/2025 00:00,10,13,Pending,0.81,Birmingham,3780.67,15067.14,23
1062,S2,SKU-62,Cosmetics,90,285.27,03/03/2025 00:00,15,10,Fail,4.91,Birmingham,3501.28,25674.3,25
1063,S5,SKU-63,Haircare,34,347.11,04/03/2025 00:00,11,7,Pending,3.08,Manchester,2944.31,11801.74,18
1064,S2,SKU-64,Cosmetics,7,222.85,05/03/2025 00:00,17,17,Fail,5.03,London,580.67,1559.95,34
1065,S2,SKU-65,Skincare,68,276.25,06/03/2025 00:00,19,18,Pass,3.36,Leeds,3728.84,18785,37
1066,S3,SKU-66,Skincare,58,287.98,07/03/2025 00:00,14,12,Pass,3.81,Leeds,1426.44,16702.84,26
1067,S1,SKU-67,Cosmetics,75,144.33,08/03/2025 00:00,16,13,Fail,3.22,Manchester,4034.17,10824.75,29
1068,S5,SKU-68,Skincare,29,92.52,09/03/2025 00:00,19,10,Fail,4.82,Birmingham,4676.39,2683.08,29
1069,S1,SKU-69,Cosmetics,36,78.87,10/03/2025 00:00,21,15,Pass,4.17,Nottingham,3252.45,2839.32,36
1070,S5,SKU-70,Cosmetics,89,96.45,11/03/2025 00:00,11,11,Pass,3.11,Manchester,3483,8584.05,22
1071,S4,SKU-71,Skincare,21,105.27,12/03/2025 00:00,22,5,Pass,4.84,Manchester,5733.13,2210.67,27
1072,S1,SKU-72,Cosmetics,36,79.7,13/03/2025 00:00,17,18,Pass,1.73,London,5159.42,2869.2,35
1073,S1,SKU-73,Skincare,10,333.87,14/03/2025 00:00,11,9,Fail,1.29,Leeds,5528.3,3338.7,20
1074,S5,SKU-74,Haircare,73,287.95,15/03/2025 00:00,13,9,Pass,1.3,Manchester,4975.71,21020.35,22
1075,S4,SKU-75,Cosmetics,24,18.96,16/03/2025 00:00,10,14,Fail,2.17,Manchester,1099.05,455.04,24
1076,S4,SKU-76,Haircare,64,102.97,17/03/2025 00:00,24,18,Fail,1.69,Birmingham,1319.46,6590.08,42
1077,S4,SKU-77,Skincare,99,9.6,18/03/2025 00:00,14,8,Fail,5.15,Birmingham,3396.43,950.4,22
1078,S1,SKU-78,Haircare,49,189.9,19/03/2025 00:00,18,10,Pending,1.03,Nottingham,1853.38,9305.1,28
1079,S2,SKU-79,Haircare,99,181.59,20/03/2025 00:00,10,11,Pass,3.99,London,3121.83,17977.41,21
1080,S1,SKU-80,Skincare,36,316.12,21/03/2025 00:00,18,13,Fail,1.45,Nottingham,2669.01,11380.32,31
1081,S5,SKU-81,Haircare,82,117.79,22/03/2025 00:00,20,5,Fail,4.91,Birmingham,3521.78,9658.78,25
1082,S4,SKU-82,Haircare,96,310.45,23/03/2025 00:00,24,19,Pass,5.31,Leeds,4607.82,29803.2,43
1083,S2,SKU-83,Skincare,24,367.87,24/03/2025 00:00,17,10,Pending,2.83,Birmingham,4435.2,8828.88,27
1084,S1,SKU-84,Haircare,23,34.69,25/03/2025 00:00,15,11,Pass,4.9,London,3366.79,797.87,26
1085,S2,SKU-85,Skincare,62,301.14,26/03/2025 00:00,16,7,Pass,0.53,Birmingham,5023.16,18670.68,23
1086,S2,SKU-86,Haircare,96,224.68,27/03/2025 00:00,12,12,Fail,4.6,London,2869.74,21569.28,24
1087,S4,SKU-87,Skincare,37,183.04,28/03/2025 00:00,23,19,Pass,1.64,London,5431.93,6772.48,42
1088,S4,SKU-88,Skincare,12,160.5,29/03/2025 00:00,24,9,Pending,5.04,London,892.04,1926,33
1089,S5,SKU-89,Haircare,55,298.43,30/03/2025 00:00,10,19,Fail,0.51,London,5750.63,16413.65,29
1090,S3,SKU-90,Haircare,13,243.39,31/03/2025 00:00,14,13,Pending,3.28,London,4100.81,3164.07,27
1091,S1,SKU-91,Haircare,23,306.15,01/04/2025 00:00,23,9,Fail,4.28,Leeds,2590.41,7041.45,32
1092,S4,SKU-92,Cosmetics,89,343.31,02/04/2025 00:00,21,13,Fail,1.79,Nottingham,1584.35,30554.59,34
1093,S4,SKU-93,Cosmetics,99,235.02,03/04/2025 00:00,21,14,Pending,1.47,Manchester,3135.51,23266.98,35
1094,S3,SKU-94,Cosmetics,30,372.6,04/04/2025 00:00,11,8,Pass,0.92,Nottingham,1570.07,11178,19
1095,S4,SKU-95,Skincare,17,231.54,05/04/2025 00:00,23,13,Pending,2.13,London,1414.82,3936.18,36
1096,S3,SKU-96,Haircare,62,242.36,06/04/2025 00:00,14,9,Pass,3.3,Leeds,3895.43,15026.32,23
1097,S3,SKU-97,Skincare,84,211.36,07/04/2025 00:00,17,14,Fail,1.08,Birmingham,3376.97,17754.24,31
1098,S2,SKU-98,Cosmetics,89,35.67,08/04/2025 00:00,20,13,Pass,2.38,Leeds,4185.53,3174.63,33
1099,S1,SKU-99,Haircare,86,276.36,09/04/2025 00:00,18,7,Fail,0.55,London,5612.83,23766.96,25
1100,S1,SKU-100,Skincare,13,208.57,10/04/2025 00:00,11,19,Pass,4.59,Leeds,3427.43,2711.41,30
1101,S1,SKU-101,Haircare,59,172,11/04/2025 00:00,21,8,Pending,1.14,Leeds,3695.13,10148,29
1102,S4,SKU-102,Skincare,19,346.09,12/04/2025 00:00,12,13,Pending,1.92,London,992.94,6575.71,25
1103,S2,SKU-103,Haircare,49,114.07,13/04/2025 00:00,12,14,Pending,0.59,Leeds,4447,5589.43,26
1104,S3,SKU-104,Cosmetics,12,199.54,14/04/2025 00:00,10,15,Pass,2.66,Manchester,2699.48,2394.48,25
1105,S5,SKU-105,Cosmetics,61,265.47,15/04/2025 00:00,17,10,Fail,4.7,Manchester,5871.99,16193.67,27
1106,S1,SKU-106,Haircare,19,302.9,16/04/2025 00:00,15,6,Fail,2.46,Leeds,5027.46,5755.1,21
1107,S2,SKU-107,Skincare,76,175.2,17/04/2025 00:00,21,11,Pass,1.4,Birmingham,3373.65,13315.2,32
1108,S4,SKU-108,Cosmetics,9,320.18,18/04/2025 00:00,22,6,Pass,4.27,London,1177.72,2881.62,28
1109,S1,SKU-109,Cosmetics,71,292.47,19/04/2025 00:00,17,15,Fail,4.44,Manchester,5226.79,20765.37,32
1110,S1,SKU-110,Cosmetics,28,26.29,20/04/2025 00:00,20,6,Fail,1.37,Birmingham,4898.8,736.12,26
1111,S2,SKU-111,Haircare,78,18.57,21/04/2025 00:00,18,15,Fail,4.35,Leeds,1515.22,1448.46,33
1112,S1,SKU-112,Haircare,95,236.36,22/04/2025 00:00,14,5,Fail,5.24,Birmingham,2124.03,22454.2,19
1113,S5,SKU-113,Skincare,52,132.8,23/04/2025 00:00,23,15,Pass,1.33,Nottingham,4863.74,6905.6,38
1114,S5,SKU-114,Skincare,83,80.42,24/04/2025 00:00,21,15,Pass,4.35,Manchester,1518.76,6674.86,36
1115,S4,SKU-115,Skincare,16,220.77,25/04/2025 00:00,23,16,Pass,4.04,Leeds,5547.64,3532.32,39
1116,S5,SKU-116,Haircare,69,130.58,26/04/2025 00:00,12,15,Pending,2.87,London,2834.9,9010.02,27
1117,S5,SKU-117,Haircare,99,204.72,27/04/2025 00:00,14,7,Pass,0.79,Leeds,978.71,20267.28,21
1118,S1,SKU-118,Skincare,12,175.49,28/04/2025 00:00,14,10,Pass,0.87,London,4986.62,2105.88,24
1119,S5,SKU-119,Skincare,25,222.71,29/04/2025 00:00,14,12,Pass,4.76,Leeds,2554.3,5567.75,26
1120,S3,SKU-120,Haircare,52,152.83,30/04/2025 00:00,12,13,Pending,5.45,Birmingham,3395.75,7947.16,25
1121,S5,SKU-121,Skincare,85,265.48,01/05/2025 00:00,20,11,Pending,3.88,Birmingham,1117.67,22565.8,31
1122,S5,SKU-122,Cosmetics,53,69.41,02/05/2025 00:00,23,8,Fail,2.73,Birmingham,514.21,3678.73,31
1123,S2,SKU-123,Haircare,23,265.03,03/05/2025 00:00,19,10,Fail,3.74,Nottingham,4008.92,6095.69,29
1124,S1,SKU-124,Skincare,16,157.14,04/05/2025 00:00,23,9,Fail,3.47,London,3333.46,2514.24,32
1125,S1,SKU-125,Haircare,57,332.39,05/05/2025 00:00,13,12,Pass,2.42,Birmingham,3764.46,18946.23,25
1126,S2,SKU-126,Cosmetics,39,196.37,06/05/2025 00:00,18,5,Pending,0.83,Nottingham,4865.59,7658.43,23
1127,S5,SKU-127,Haircare,53,369.81,07/05/2025 00:00,22,5,Fail,4.61,London,4056.33,19599.93,27
1128,S5,SKU-128,Haircare,42,229.21,08/05/2025 00:00,19,17,Fail,2.36,Leeds,1461.25,9626.82,36
1129,S1,SKU-129,Haircare,58,85.99,09/05/2025 00:00,18,19,Fail,4.59,Nottingham,2484.25,4987.42,37
1130,S3,SKU-130,Haircare,39,312.49,10/05/2025 00:00,11,15,Fail,1.76,Manchester,5482.4,12187.11,26
1131,S2,SKU-131,Cosmetics,14,131.92,11/05/2025 00:00,17,10,Fail,0.51,Nottingham,4734.7,1846.88,27
1132,S1,SKU-132,Haircare,95,132.88,12/05/2025 00:00,17,14,Pending,1.29,Nottingham,3561.5,12623.6,31
1133,S1,SKU-133,Haircare,5,13.25,13/05/2025 00:00,16,16,Pending,2.84,London,1906.05,66.25,32
1134,S2,SKU-134,Skincare,35,209.05,14/05/2025 00:00,17,6,Fail,5.22,Leeds,2161.33,7316.75,23
1135,S5,SKU-135,Haircare,87,203.64,15/05/2025 00:00,23,9,Fail,1.01,Manchester,4525.77,17716.68,32
1136,S2,SKU-136,Skincare,93,136.05,16/05/2025 00:00,12,5,Pass,4.77,Birmingham,5181.46,12652.65,17
1137,S3,SKU-137,Cosmetics,75,339.93,17/05/2025 00:00,22,11,Fail,3.14,Birmingham,4192.84,25494.75,33
1138,S4,SKU-138,Cosmetics,18,49.97,18/05/2025 00:00,15,5,Pass,4.63,Nottingham,4952.41,899.46,20
1139,S2,SKU-139,Cosmetics,76,126.24,19/05/2025 00:00,10,8,Fail,1.99,London,4716.61,9594.24,18
1140,S5,SKU-140,Cosmetics,9,123.02,20/05/2025 00:00,16,13,Pending,4.7,London,1323.37,1107.18,29
1141,S5,SKU-141,Skincare,74,36.16,21/05/2025 00:00,24,5,Fail,4.36,Birmingham,2831.7,2675.84,29
1142,S2,SKU-142,Haircare,58,183.46,22/05/2025 00:00,24,8,Fail,1.65,Manchester,1341.41,10640.68,32
1143,S3,SKU-143,Cosmetics,17,261.73,23/05/2025 00:00,10,10,Pass,1.16,Leeds,1793.8,4449.41,20
1144,S2,SKU-144,Haircare,7,195.02,24/05/2025 00:00,18,10,Pass,4.84,Manchester,5280.93,1365.14,28
1145,S2,SKU-145,Skincare,46,60.66,25/05/2025 00:00,10,16,Fail,5.32,Leeds,3100.91,2790.36,26
1146,S1,SKU-146,Skincare,13,144.12,26/05/2025 00:00,10,19,Pass,0.66,Birmingham,3444.47,1873.56,29
1147,S4,SKU-147,Skincare,40,2.18,27/05/2025 00:00,24,17,Pass,4.16,Leeds,1481.45,87.2,41
1148,S3,SKU-148,Cosmetics,42,330.11,28/05/2025 00:00,16,12,Fail,5.05,London,2217.49,13864.62,28
1149,S1,SKU-149,Haircare,9,33.22,29/05/2025 00:00,11,5,Fail,4.79,Nottingham,1766.35,298.98,16
1150,S2,SKU-150,Haircare,50,227.45,30/05/2025 00:00,23,11,Fail,5.32,Nottingham,1634.02,11372.5,34
1151,S5,SKU-151,Haircare,27,374.79,31/05/2025 00:00,14,5,Pass,4.3,Birmingham,4008.78,10119.33,19
1152,S1,SKU-152,Skincare,66,204.46,01/06/2025 00:00,17,17,Fail,2.71,London,1912.86,13494.36,34
1153,S1,SKU-153,Cosmetics,5,351.23,02/06/2025 00:00,17,18,Fail,2.06,Manchester,3976.09,1756.15,35
1154,S3,SKU-154,Skincare,29,90.64,03/06/2025 00:00,12,11,Fail,2.1,London,821.5,2628.56,23
1155,S5,SKU-155,Skincare,37,289.07,04/06/2025 00:00,16,7,Fail,4.12,Nottingham,1279.76,10695.59,23
1156,S1,SKU-156,Haircare,38,202.44,05/06/2025 00:00,12,15,Pass,4.23,Nottingham,2009.97,7692.72,27
1157,S4,SKU-157,Skincare,83,274.13,06/06/2025 00:00,15,12,Fail,1.5,London,3783.76,22752.79,27
1158,S4,SKU-158,Haircare,8,24.81,07/06/2025 00:00,15,7,Fail,4.84,London,4217.13,198.48,22
1159,S1,SKU-159,Cosmetics,65,57.16,08/06/2025 00:00,12,18,Pending,4.07,Nottingham,2934.94,3715.4,30
1160,S4,SKU-160,Haircare,86,51.62,09/06/2025 00:00,16,18,Fail,3.31,Manchester,2951.85,4439.32,34
1161,S2,SKU-161,Cosmetics,17,261.5,10/06/2025 00:00,12,17,Fail,2.86,Birmingham,4484.84,4445.5,29
1162,S4,SKU-162,Haircare,71,321.07,11/06/2025 00:00,17,5,Pass,3.22,Birmingham,587.02,22795.97,22
1163,S4,SKU-163,Skincare,89,285.15,12/06/2025 00:00,19,17,Fail,1.3,London,2376,25378.35,36
1164,S3,SKU-164,Skincare,45,12.74,13/06/2025 00:00,13,17,Pending,1.52,Birmingham,5002.89,573.3,30
1165,S1,SKU-165,Cosmetics,4,329.7,14/06/2025 00:00,24,18,Fail,0.96,Nottingham,3817.71,1318.8,42
1166,S5,SKU-166,Cosmetics,36,135.35,15/06/2025 00:00,24,12,Fail,1.27,Nottingham,2354.75,4872.6,36
1167,S2,SKU-167,Cosmetics,70,151.65,16/06/2025 00:00,22,7,Fail,2.77,London,5480.39,10615.5,29
1168,S1,SKU-168,Haircare,31,40.92,17/06/2025 00:00,10,6,Fail,3.15,London,4749.43,1268.52,16
1169,S1,SKU-169,Haircare,19,280.53,18/06/2025 00:00,13,5,Fail,0.59,London,1956.92,5330.07,18
1170,S3,SKU-170,Cosmetics,61,70.25,19/06/2025 00:00,23,18,Pending,4.48,Manchester,4049.09,4285.25,41
1171,S4,SKU-171,Skincare,54,214.83,20/06/2025 00:00,16,7,Fail,1.97,Birmingham,3776.63,11600.82,23
1172,S1,SKU-172,Haircare,39,319.66,21/06/2025 00:00,20,19,Fail,5.06,London,2706.53,12466.74,39
1173,S3,SKU-173,Haircare,91,34.99,22/06/2025 00:00,13,6,Pending,5.34,Leeds,2518.26,3184.09,19
1174,S1,SKU-174,Haircare,74,203.99,23/06/2025 00:00,22,6,Pass,1.43,Leeds,2389.58,15095.26,28
1175,S4,SKU-175,Cosmetics,90,89.54,24/06/2025 00:00,15,10,Pass,2.81,Nottingham,3894.36,8058.6,25
1176,S1,SKU-176,Cosmetics,19,131.1,25/06/2025 00:00,18,16,Pass,0.51,Birmingham,2933.25,2490.9,34
1177,S4,SKU-177,Cosmetics,39,180.74,26/06/2025 00:00,10,5,Pending,3.49,London,5075.25,7048.86,15
1178,S2,SKU-178,Cosmetics,67,135.71,27/06/2025 00:00,22,6,Pass,3.54,Leeds,4182.81,9092.57,28
1179,S5,SKU-179,Cosmetics,45,246.97,28/06/2025 00:00,14,18,Pass,1.74,Birmingham,884.62,11113.65,32
1180,S1,SKU-180,Skincare,13,182.87,29/06/2025 00:00,20,10,Pass,3.29,Nottingham,4020.93,2377.31,30
1181,S2,SKU-181,Skincare,92,222.49,30/06/2025 00:00,16,7,Pass,1.63,Manchester,1991.31,20469.08,23
1182,S1,SKU-182,Cosmetics,58,280.31,01/07/2025 00:00,10,19,Pass,1.3,Birmingham,3760.47,16257.98,29
1183,S5,SKU-183,Haircare,20,212.47,02/07/2025 00:00,23,8,Fail,3.76,Birmingham,4240.73,4249.4,31
1184,S5,SKU-184,Cosmetics,92,223.38,03/07/2025 00:00,13,5,Fail,2.13,Manchester,1769.56,20550.96,18
1185,S2,SKU-185,Skincare,72,215.02,04/07/2025 00:00,15,12,Pass,3.45,Birmingham,3012.72,15481.44,27
1186,S4,SKU-186,Skincare,61,144.68,05/07/2025 00:00,11,17,Pass,2.67,Nottingham,1546.79,8825.48,28
1187,S5,SKU-187,Haircare,39,129.02,06/07/2025 00:00,19,11,Pass,5.42,Nottingham,787.86,5031.78,30
1188,S3,SKU-188,Skincare,1,341.99,07/07/2025 00:00,14,11,Pass,1.25,Manchester,2581.62,341.99,25
1189,S3,SKU-189,Cosmetics,3,231.34,08/07/2025 00:00,20,7,Fail,2.82,London,2496.19,694.02,27
1190,S1,SKU-190,Haircare,77,93.76,09/07/2025 00:00,19,14,Fail,3.9,Leeds,5975.14,7219.52,33
1191,S1,SKU-191,Cosmetics,92,189.94,10/07/2025 00:00,10,14,Pass,2.48,London,2954.94,17474.48,24
1192,S5,SKU-192,Cosmetics,62,126.34,11/07/2025 00:00,15,7,Fail,5.37,Birmingham,2334.63,7833.08,22
1193,S5,SKU-193,Haircare,63,354.88,12/07/2025 00:00,15,18,Pass,4.11,Leeds,3692.61,22357.44,33
1194,S4,SKU-194,Cosmetics,25,4.05,13/07/2025 00:00,22,6,Pending,3.78,Manchester,988.22,101.25,28
1195,S2,SKU-195,Skincare,56,86.56,14/07/2025 00:00,24,16,Fail,4.29,Manchester,5789.16,4847.36,40
1196,S2,SKU-196,Cosmetics,33,139.6,15/07/2025 00:00,24,5,Fail,5.26,Leeds,3992.28,4606.8,29
1197,S4,SKU-197,Haircare,38,185.98,16/07/2025 00:00,13,11,Pass,5.04,Nottingham,4651.61,7067.24,24
1198,S5,SKU-198,Haircare,6,323.49,17/07/2025 00:00,22,11,Pending,4.12,Leeds,1437.63,1940.94,33
1199,S5,SKU-199,Haircare,58,34.49,18/07/2025 00:00,17,16,Pass,4.25,Birmingham,2752.13,2000.42,33
1200,S4,SKU-200,Cosmetics,44,306.46,19/07/2025 00:00,13,6,Pass,1.23,Nottingham,2824.79,13484.24,19
